repetition;window_id;start_sample;end_sample;label;gesture_id;gesture_name;n_rr;n_valid_rr;n_invalid_rr;is_valid_window;rr_indices;mean_hr_bpm;std_hr_bpm;mean_rr_ms;sdnn_ms;rmssd_ms;pnn50_pct
1;1;0;5000;REST;-1;REST;12;12;0;1;0,1,2,3,4,5,6,7,8,9,10,11;82.52;3.57;728.50;34.67;19.60;0.00
1;2;500;5500;REST;-1;REST;13;13;0;1;1,2,3,4,5,6,7,8,9,10,11,12,13;80.68;5.33;747.08;54.24;22.09;0.00
1;3;1000;6000;REST;-1;REST;12;12;0;1;3,4,5,6,7,8,9,10,11,12,13,14;79.13;5.46;762.00;56.30;23.38;0.00
1;4;1500;6500;REST;-1;REST;12;12;0;1;4,5,6,7,8,9,10,11,12,13,14,15;78.08;5.39;772.17;55.89;23.34;0.00
1;5;2000;7000;REST;-1;REST;12;12;0;1;5,6,7,8,9,10,11,12,13,14,15,16;77.24;5.10;780.17;52.98;23.83;0.00
1;6;2500;7500;REST;-1;REST;11;11;0;1;7,8,9,10,11,12,13,14,15,16,17;75.89;4.48;793.27;46.86;24.56;0.00
1;7;3000;8000;REST;-1;REST;12;12;0;1;8,9,10,11,12,13,14,15,16,17,18,19;75.15;3.20;799.83;34.66;21.98;0.00
1;8;3500;8500;REST;-1;REST;11;11;0;1;10,11,12,13,14,15,16,17,18,19,20;74.27;2.06;808.55;23.78;17.33;0.00
1;9;4000;9000;REST;-1;REST;11;11;0;1;11,12,13,14,15,16,17,18,19,20,21;74.89;3.12;802.55;33.97;23.00;0.00
1;10;4500;9500;REST;-1;REST;12;12;0;1;12,13,14,15,16,17,18,19,20,21,22,23;75.77;3.62;793.67;39.07;18.71;0.00
1;11;5000;10000;REST;-1;REST;12;12;0;1;13,14,15,16,17,18,19,20,21,22,23,24;76.62;3.63;784.83;38.64;18.75;0.00
1;12;5500;10500;REST;-1;REST;11;11;0;1;15,16,17,18,19,20,21,22,23,24,25;77.65;3.00;773.82;31.35;21.34;0.00
1;13;6000;11000;REST;-1;REST;12;12;0;1;16,17,18,19,20,21,22,23,24,25,26,27;77.68;2.66;773.33;27.29;21.04;0.00
1;14;6500;11500;REST;-1;REST;12;12;0;1;17,18,19,20,21,22,23,24,25,26,27,28;77.80;2.54;772.00;25.91;21.22;0.00
1;15;7000;12000;REST;-1;REST;12;12;0;1;18,19,20,21,22,23,24,25,26,27,28,29;78.32;2.52;766.83;25.56;25.78;0.00
1;16;7500;12500;REST;-1;REST;13;13;0;1;19,20,21,22,23,24,25,26,27,28,29,30,31;78.78;2.45;762.31;24.76;25.76;0.00
1;17;8000;13000;REST;-1;REST;12;12;0;1;21,22,23,24,25,26,27,28,29,30,31,32;79.21;2.43;758.17;24.68;22.95;0.00
1;18;8500;13500;REST;-1;REST;12;12;0;1;22,23,24,25,26,27,28,29,30,31,32,33;78.98;2.23;760.33;22.86;21.85;0.00
1;19;9000;14000;REST;-1;REST;13;13;0;1;23,24,25,26,27,28,29,30,31,32,33,34,35;78.88;2.13;761.23;21.76;20.82;0.00
1;20;9500;14500;REST;-1;REST;12;12;0;1;25,26,27,28,29,30,31,32,33,34,35,36;78.43;2.00;765.50;20.52;19.83;0.00
1;21;10000;15000;REST;-1;REST;12;12;0;1;26,27,28,29,30,31,32,33,34,35,36,37;78.59;2.04;764.00;20.98;19.18;0.00
1;22;10500;15500;REST;-1;REST;12;12;0;1;27,28,29,30,31,32,33,34,35,36,37,38;79.07;1.95;759.33;19.90;19.44;0.00
1;23;11000;16000;REST;-1;REST;12;12;0;1;29,30,31,32,33,34,35,36,37,38,39,40;79.05;1.97;759.50;20.18;20.31;9.09
1;24;11500;16500;REST;-1;REST;12;12;0;1;30,31,32,33,34,35,36,37,38,39,40,41;78.35;2.55;766.67;26.81;21.73;9.09
1;25;12000;17000;REST;-1;REST;12;12;0;1;31,32,33,34,35,36,37,38,39,40,41,42;77.50;2.99;775.33;32.25;20.71;9.09
1;26;12500;17500;REST;-1;REST;12;12;0;1;33,34,35,36,37,38,39,40,41,42,43,44;77.87;3.95;772.50;40.25;38.87;27.27
1;27;13000;18000;REST;-1;REST;12;12;0;1;34,35,36,37,38,39,40,41,42,43,44,45;78.81;5.35;764.67;51.69;39.86;27.27
1;28;13500;18500;REST;-1;REST;13;13;0;1;35,36,37,38,39,40,41,42,43,44,45,46,47;80.69;6.81;748.77;63.68;38.83;25.00
