Category,Metric,Value
RR_Intervals,Total,116484
RR_Intervals,Valid,115938
RR_Intervals,Invalid,546
RR_Intervals,Valid_Ratio,99.53%
Windows,Total,26154
Windows,REST,10433
Windows,GESTURE,15721
Overall_HR_HRV,Mean_HR_bpm,80.60
Overall_HR_HRV,Std_HR_bpm,12.22
Overall_HR_HRV,SDNN_ms,108.23
Overall_HR_HRV,RMSSD_ms,56.46
Overall_HR_HRV,pNN50_%,13.09
Window_Avg_ALL,N_Windows,26154
Window_Avg_ALL,Mean_HR_bpm,79.57
Window_Avg_ALL,Std_HR_bpm,9.89
Window_Avg_ALL,Mean_SDNN_ms,45.59
Window_Avg_ALL,Mean_RMSSD_ms,38.12
Window_Avg_ALL,Mean_pNN50_%,13.21
Window_Avg_REST,N_Windows,10433
Window_Avg_REST,Mean_HR_bpm,80.11
Window_Avg_REST,Mean_SDNN_ms,47.40
Window_Avg_REST,Mean_RMSSD_ms,40.56
Window_Avg_REST,Mean_pNN50_%,13.88
Window_Avg_GESTURE,N_Windows,15721
Window_Avg_GESTURE,Mean_HR_bpm,79.21
Window_Avg_GESTURE,Mean_SDNN_ms,44.39
Window_Avg_GESTURE,Mean_RMSSD_ms,36.50
Window_Avg_GESTURE,Mean_pNN50_%,12.76
