Category,Metric,Value
RR_Intervals,Total,116484
RR_Intervals,Valid,116365
RR_Intervals,Invalid,119
RR_Intervals,Valid_Ratio,99.90%
Windows,Total,26889
Windows,REST,10839
Windows,GESTURE,16050
Windows,All_Valid_RR,26697
Windows,REST_All_Valid,10729
Windows,GESTURE_All_Valid,15968
Overall_HR_HRV,Mean_HR_bpm,80.55
Overall_HR_HRV,Std_HR_bpm,12.24
Overall_HR_HRV,SDNN_ms,109.16
Overall_HR_HRV,RMSSD_ms,58.86
Overall_HR_HRV,pNN50_%,13.15
Window_Avg_ALL,N_Windows,26889
Window_Avg_ALL,Mean_HR_bpm,79.57
Window_Avg_ALL,Mean_SDNN_ms,48.17
Window_Avg_ALL,Mean_RMSSD_ms,41.83
Window_Avg_ALL,Mean_pNN50_%,13.56
Window_Avg_REST,N_Windows,10839
Window_Avg_REST,Mean_HR_bpm,80.12
Window_Avg_REST,Mean_SDNN_ms,49.94
Window_Avg_REST,Mean_RMSSD_ms,44.12
Window_Avg_REST,Mean_pNN50_%,14.42
Window_Avg_GESTURE,N_Windows,16050
Window_Avg_GESTURE,Mean_HR_bpm,79.19
Window_Avg_GESTURE,Mean_SDNN_ms,46.97
Window_Avg_GESTURE,Mean_RMSSD_ms,40.28
Window_Avg_GESTURE,Mean_pNN50_%,12.98
