subject,repetition,window_id,start_sample,end_sample,label,gesture_id,gesture_name,action_ratio,n_rr,mean_hr_bpm,std_hr_bpm,mean_rr_ms,sdnn_ms,rmssd_ms,pnn50_pct
S01,1,1,155,5155,REST,-1,REST,0.000,14,86.74,5.85,695.71,61.21,61.33,7.69
S01,1,2,5155,10155,REST,-1,REST,0.000,14,93.52,2.71,642.14,19.63,11.61,0.00
S01,1,3,10155,15155,REST,-1,REST,0.000,14,89.68,2.52,669.57,19.74,20.44,0.00
S01,1,4,15155,20155,REST,-1,REST,0.000,14,88.68,2.53,677.14,20.38,21.11,0.00
S01,1,5,20155,25155,REST,-1,REST,0.000,14,91.42,2.64,656.86,19.92,15.19,0.00
S01,1,6,25155,30155,GESTURE,4,Wrist Extension,0.993,14,88.74,4.66,678.00,37.21,17.58,0.00
S01,1,7,30155,35155,GESTURE,4,Wrist Extension,0.670,14,89.41,4.01,672.43,30.92,17.71,0.00
S01,1,8,35155,40155,GESTURE,4,Wrist Extension,1.000,14,93.67,2.01,640.86,14.61,12.97,0.00
S01,1,9,40155,45155,REST,-1,REST,0.003,15,92.12,5.74,654.27,48.43,26.43,14.29
S01,1,10,45155,50155,GESTURE,9,Flexion of Thumb,0.965,14,92.02,1.68,652.29,12.45,8.08,0.00
S01,1,11,50155,55155,GESTURE,9,Flexion of Thumb,0.674,14,90.65,2.99,662.57,22.54,18.89,0.00
S01,1,12,55155,60155,GESTURE,9,Flexion of Thumb,1.000,15,97.30,1.96,616.93,13.05,11.06,0.00
S01,1,13,60155,65155,REST,-1,REST,0.022,14,91.76,7.23,658.57,62.32,35.10,7.69
S01,1,14,65155,70155,GESTURE,2,Hand Open,0.947,13,84.33,2.84,712.31,25.10,21.59,0.00
S01,1,15,70155,75155,GESTURE,2,Hand Open,0.674,13,84.33,10.32,723.38,102.37,79.13,8.33
S01,1,16,75155,80155,GESTURE,2,Hand Open,1.000,13,86.00,9.77,707.54,90.85,32.12,16.67
S01,1,17,80155,85155,REST,-1,REST,0.045,14,87.69,5.67,687.29,49.79,23.42,7.69
S01,1,18,85155,90155,GESTURE,8,Tripod Grasp,0.917,13,88.48,2.69,678.77,21.90,20.38,8.33
S01,1,19,90155,95155,GESTURE,8,Tripod Grasp,0.672,14,90.82,3.59,661.71,28.09,18.45,0.00
S01,1,20,95155,100155,GESTURE,8,Tripod Grasp,1.000,14,87.77,6.32,687.14,50.99,33.58,7.69
S01,1,21,100155,105155,REST,-1,REST,0.080,14,89.72,7.67,673.86,61.71,45.12,7.69
S01,1,22,105155,110155,GESTURE,7,Flexion of Little Finger,0.893,13,85.10,6.70,709.23,55.78,34.57,8.33
S01,1,23,110155,115155,GESTURE,7,Flexion of Little Finger,0.674,13,86.26,3.32,696.62,28.81,30.76,8.33
S01,1,24,115155,120155,GESTURE,7,Flexion of Little Finger,1.000,14,87.53,8.86,692.57,73.34,52.61,7.69
S01,1,25,120155,125155,REST,-1,REST,0.082,13,85.97,3.65,699.23,32.25,31.68,16.67
S01,1,26,125155,130155,GESTURE,10,Flexion of Middle Finger,0.895,14,90.93,2.37,660.29,17.68,10.88,0.00
S01,1,27,130155,135155,GESTURE,10,Flexion of Middle Finger,0.685,16,97.44,1.81,616.00,11.84,7.68,0.00
S01,1,28,135155,140155,GESTURE,10,Flexion of Middle Finger,1.000,14,89.52,7.09,674.57,57.18,31.11,15.38
S01,1,29,140155,145155,REST,-1,REST,0.105,13,87.72,5.77,687.08,48.59,36.02,16.67
S01,1,30,145155,150155,GESTURE,6,Cut Something,0.863,14,88.53,8.94,684.71,71.67,51.69,23.08
S01,1,31,150155,155155,GESTURE,6,Cut Something,0.664,14,90.84,2.12,660.86,16.09,17.12,0.00
S01,1,32,155155,160155,GESTURE,6,Cut Something,1.000,14,91.33,3.86,658.14,28.58,15.65,0.00
S01,1,33,160155,165155,REST,-1,REST,0.130,14,89.27,5.28,674.57,43.08,29.81,15.38
S01,1,34,165155,170155,GESTURE,5,Pointing Index,0.842,13,85.38,4.98,705.23,43.91,37.22,16.67
S01,1,35,170155,175155,GESTURE,5,Pointing Index,0.666,14,87.54,5.42,688.00,43.75,23.03,0.00
S01,1,36,175155,180155,GESTURE,5,Pointing Index,1.000,14,88.91,9.98,684.71,92.09,69.76,38.46
S01,1,37,180155,185155,REST,-1,REST,0.144,12,79.72,13.18,772.83,130.05,116.35,54.55
S01,1,38,185155,190155,GESTURE,1,Hand Close,0.827,13,85.50,3.94,703.23,34.05,30.83,8.33
S01,1,39,190155,195155,GESTURE,1,Hand Close,0.673,14,86.59,5.01,695.29,42.64,33.11,7.69
S01,1,40,195155,200155,GESTURE,1,Hand Close,1.000,13,84.93,8.23,713.85,79.31,52.62,25.00
S01,1,41,200155,205155,REST,-1,REST,0.156,14,90.42,6.72,667.57,55.83,47.41,15.38
S01,1,42,205155,210155,GESTURE,3,Wrist Flexion,0.813,14,90.55,5.52,665.14,43.21,26.05,7.69
S01,1,43,210155,215155,GESTURE,3,Wrist Flexion,0.674,14,92.55,2.65,648.86,20.00,14.60,0.00
S01,1,44,215155,220155,GESTURE,3,Wrist Flexion,1.000,14,92.17,2.39,651.43,17.55,13.67,0.00
S01,2,1,4499,9499,REST,-1,REST,0.000,13,81.02,4.78,743.23,46.60,31.84,16.67
S01,2,2,9499,14499,REST,-1,REST,0.000,14,89.51,1.63,670.57,12.59,10.14,0.00
S01,2,3,14499,19499,REST,-1,REST,0.000,13,84.54,3.44,710.92,30.11,19.54,0.00
S01,2,4,19499,24499,REST,-1,REST,0.000,14,90.95,5.32,662.00,40.63,12.42,0.00
S01,2,5,24499,29499,GESTURE,4,Wrist Extension,0.861,14,89.74,3.64,669.71,29.37,19.40,0.00
S01,2,6,29499,34499,GESTURE,4,Wrist Extension,0.674,14,91.00,0.84,659.43,6.30,6.35,0.00
S01,2,7,34499,39499,GESTURE,4,Wrist Extension,1.000,15,93.84,5.31,641.47,37.78,19.65,0.00
S01,2,8,39499,44499,REST,-1,REST,0.127,14,89.06,5.63,676.43,44.72,26.63,7.69
S01,2,9,44499,49499,GESTURE,9,Flexion of Thumb,0.842,14,90.79,1.96,661.14,14.88,16.67,0.00
S01,2,10,49499,54499,GESTURE,9,Flexion of Thumb,0.671,14,91.99,2.04,652.57,14.91,9.49,0.00
S01,2,11,54499,59499,GESTURE,9,Flexion of Thumb,1.000,14,92.96,5.81,648.00,42.91,23.03,7.69
S01,2,12,59499,64499,REST,-1,REST,0.136,15,95.92,3.03,626.13,20.67,16.03,0.00
S01,2,13,64499,69499,GESTURE,2,Hand Open,0.836,16,99.02,5.36,608.00,39.78,36.32,6.67
S01,2,14,69499,74499,GESTURE,2,Hand Open,0.668,14,92.11,9.21,658.14,70.47,20.11,7.69
S01,2,15,74499,79499,GESTURE,2,Hand Open,1.000,15,101.49,11.37,599.60,77.80,36.56,14.29
S01,2,16,79499,84499,REST,-1,REST,0.147,16,98.71,4.57,609.12,28.96,11.65,0.00
S01,2,17,84499,89499,GESTURE,6,Cut Something,0.823,13,82.74,6.82,730.31,65.00,45.34,25.00
S01,2,18,89499,94499,GESTURE,6,Cut Something,0.672,12,82.27,11.70,746.67,129.04,111.53,27.27
S01,2,19,94499,99499,GESTURE,6,Cut Something,1.000,13,85.72,10.69,712.31,103.73,71.29,25.00
S01,2,20,99499,104499,REST,-1,REST,0.165,16,102.60,4.94,586.12,29.07,17.06,6.67
S01,2,21,104499,109499,GESTURE,10,Flexion of Middle Finger,0.807,12,82.82,10.11,735.50,94.95,30.67,9.09
S01,2,22,109499,114499,GESTURE,10,Flexion of Middle Finger,0.672,14,85.02,4.77,707.86,40.36,44.42,15.38
S01,2,23,114499,119499,GESTURE,10,Flexion of Middle Finger,1.000,13,85.27,4.40,705.54,38.42,27.77,8.33
S01,2,24,119499,124499,REST,-1,REST,0.175,13,86.39,2.97,695.38,25.08,25.34,0.00
S01,2,25,124499,129499,GESTURE,1,Hand Close,0.801,14,89.96,4.22,668.43,32.19,26.65,0.00
S01,2,26,129499,134499,GESTURE,1,Hand Close,0.674,13,87.10,3.95,690.31,32.28,26.92,16.67
S01,2,27,134499,139499,GESTURE,1,Hand Close,1.000,15,91.81,3.85,654.67,28.31,18.83,0.00
S01,2,28,139499,144499,REST,-1,REST,0.178,13,87.81,6.85,687.85,60.71,51.36,25.00
S01,2,29,144499,149499,GESTURE,3,Wrist Flexion,0.790,14,88.82,7.19,679.86,55.46,26.32,0.00
S01,2,30,149499,154499,GESTURE,3,Wrist Flexion,0.667,14,89.66,2.49,669.71,19.50,17.08,0.00
S01,2,31,154499,159499,GESTURE,3,Wrist Flexion,1.000,14,90.10,3.56,667.00,27.44,16.69,0.00
S01,2,32,159499,164499,REST,-1,REST,0.204,14,87.30,5.68,690.29,47.51,41.55,15.38
S01,2,33,164499,169499,GESTURE,5,Pointing Index,0.764,14,93.03,2.60,645.43,18.72,8.79,0.00
S01,2,34,169499,174499,GESTURE,5,Pointing Index,0.669,14,92.11,4.12,652.71,31.38,21.03,0.00
S01,2,35,174499,179499,GESTURE,5,Pointing Index,1.000,14,86.58,3.54,694.14,30.02,22.81,7.69
S01,2,36,179499,184499,REST,-1,REST,0.223,14,93.70,2.62,640.86,18.71,12.15,0.00
S01,2,37,184499,189499,GESTURE,7,Flexion of Little Finger,0.749,15,91.06,2.25,659.33,16.76,12.66,0.00
S01,2,38,189499,194499,GESTURE,7,Flexion of Little Finger,0.666,15,100.95,3.57,595.07,21.68,9.43,0.00
S01,2,39,194499,199499,GESTURE,7,Flexion of Little Finger,1.000,16,97.70,6.01,616.50,39.61,20.80,6.67
S01,2,40,199499,204499,REST,-1,REST,0.213,14,95.80,5.13,628.14,36.16,23.26,7.69
S01,2,41,204499,209499,GESTURE,8,Tripod Grasp,0.755,15,92.46,8.72,654.93,65.84,31.18,14.29
S01,2,42,209499,214499,GESTURE,8,Tripod Grasp,0.671,14,91.59,9.29,662.00,70.67,36.33,15.38
S01,2,43,214499,219499,GESTURE,8,Tripod Grasp,1.000,13,84.72,7.02,713.38,65.30,43.83,8.33
S01,3,1,227,5227,REST,-1,REST,0.000,14,89.37,10.06,680.86,87.96,39.70,23.08
S01,3,2,5227,10227,REST,-1,REST,0.000,14,90.07,2.60,666.71,19.79,17.94,0.00
S01,3,3,10227,15227,REST,-1,REST,0.000,13,84.37,10.45,722.92,99.59,85.01,41.67
S01,3,4,15227,20227,REST,-1,REST,0.000,13,85.46,12.06,716.77,109.12,48.78,33.33
S01,3,5,20227,25227,REST,-1,REST,0.000,15,95.56,4.89,629.60,35.37,18.75,0.00
S01,3,6,25227,30227,GESTURE,4,Wrist Extension,0.993,14,91.21,1.49,658.00,11.31,11.09,0.00
S01,3,7,30227,35227,GESTURE,4,Wrist Extension,0.670,14,93.11,5.07,646.29,36.26,19.06,0.00
